Team,2020,2021,2022,2023,2024
WAS,-0.03,-0.062,-0.092,-0.119,0.027
TEN,0.069,-0.054,-0.104,-0.078,-0.175
TB,-0.032,0.024,-0.208,-0.166,0.012
SF,-0.107,-0.024,-0.021,0.034,-0.057
SEA,-0.014,0.026,-0.071,-0.087,-0.126
PIT,-0.134,-0.078,0.006,-0.069,-0.124
PHI,-0.081,0.025,0.072,-0.006,0.056
NYJ,-0.146,-0.084,-0.093,-0.191,-0.108
NYG,-0.067,-0.133,-0.004,-0.205,-0.116
NO,0.039,-0.147,-0.109,-0.113,-0.036
NE,0.052,-0.012,-0.082,-0.129,-0.187
MIN,-0.025,-0.111,-0.13,-0.158,-0.119
MIA,-0.124,-0.18,-0.05,-0.009,-0.246
LV,-0.067,-0.161,-0.071,-0.151,-0.283
LAC,-0.141,-0.075,-0.057,-0.242,-0.079
LAR,-0.081,-0.089,-0.065,-0.022,-0.069
KC,-0.056,-0.024,-0.019,-0.112,-0.058
JAX,-0.086,-0.113,-0.1,-0.192,-0.067
IND,-0.047,0.065,-0.181,-0.108,-0.071
HOU,-0.193,-0.213,-0.204,-0.164,-0.12
GB,0.025,-0.003,-0.009,-0.054,-0.03
DET,-0.156,-0.123,-0.07,-0.014,0.021
DEN,-0.102,-0.093,-0.124,-0.11,-0.075
DAL,-0.073,-0.062,-0.031,-0.061,-0.128
CLE,-0.034,0.015,0.002,-0.121,-0.14
CIN,-0.122,-0.094,-0.064,-0.103,-0.081
CHI,-0.073,-0.105,-0.004,-0.045,-0.142
CAR,-0.082,-0.089,-0.005,-0.155,-0.04
BUF,-0.081,-0.048,-0.064,0.01,0.029
BAL,0.093,-0.046,0.034,0.009,0.053
ATL,-0.148,-0.162,0.004,-0.171,-0.015
ARI,-0.009,-0.037,-0.084,-0.014,-0.023